NAMESPACE                 NAME                                                     ADDRESSTYPE   PORTS                         ENDPOINTS                                            AGE
agents-mitmproxy          mitmproxy-vdj48                                          IPv4          8081,8080                     10.244.9.250                                         14d
airlock                   airlock-db-r-2x87l                                       IPv4          5432                          10.244.8.189,10.244.7.196                            8d
airlock                   airlock-db-ro-ptxjs                                      IPv4          <unset>                       <unset>                                              8d
airlock                   airlock-db-rw-mbkjh                                      IPv4          5432                          10.244.8.189,10.244.7.196                            8d
airlock                   airlock-mprbt                                            IPv4          8765                          10.244.8.143,10.244.0.5                              49d
airlock                   kubeapi-admin-exec-mcp-dszqh                             IPv4          8766                          10.244.9.241                                         49d
atuin                     atuin-db-r-f9nqz                                         IPv4          5432                          10.244.0.69,10.244.1.89                              2d
atuin                     atuin-db-ro-jbjt7                                        IPv4          5432                          10.244.1.89                                          2d
atuin                     atuin-db-rw-vdhlh                                        IPv4          5432                          10.244.0.69                                          2d
atuin                     atuin-server-lkn6t                                       IPv4          8888                          10.244.1.166                                         50d
augur                     augur-nkn8h                                              IPv4          4180,4181                     10.244.1.175                                         18d
authelia                  authelia-dk5db                                           IPv4          9091                          10.244.9.163                                         50d
authentik                 ak-outpost-kagent-outpost-t4kml                          IPv4          9000,9300,9443                10.244.0.68                                          50d
authentik                 authentik-db-ovh-r-brhtb                                 IPv4          5432                          10.244.8.144,10.244.7.108                            8d
authentik                 authentik-db-ovh-ro-s5f2k                                IPv4          <unset>                       <unset>                                              8d
authentik                 authentik-db-ovh-rw-7wvmd                                IPv4          5432                          10.244.8.144,10.244.7.108                            8d
authentik                 authentik-server-hrp7s                                   IPv4          9000,9443                     10.244.1.84                                          50d
cdi                       cdi-api-xh2gb                                            IPv4          8443                          10.244.9.118                                         2d17h
cdi                       cdi-prometheus-metrics-vl67z                             IPv4          8443                          10.244.1.12,10.244.1.13                              2d17h
cdi                       cdi-uploadproxy-wv82k                                    IPv4          8443                          10.244.7.122                                         2d17h
cert-manager-trust        trust-manager-lmtb4                                      IPv4          6443                          10.244.0.76                                          50d
cert-manager-trust        trust-manager-metrics-gmmng                              IPv4          9402                          10.244.0.76                                          50d
cert-manager              cert-manager-cainjector-psnwg                            IPv4          9402                          10.244.9.238                                         50d
cert-manager              cert-manager-webhook-kkbph                               IPv4          10250,9402                    10.244.1.24                                          50d
cert-manager              cert-manager-x2qxj                                       IPv4          9402                          10.244.9.38                                          50d
cnpg-system               cnpg-webhook-service-5nvk7                               IPv4          9443                          10.244.7.240                                         50d
cpap-sync                 cpap-webdav-txm8m                                        IPv4          <unset>                       <unset>                                              41d
