NAMESPACE                NAME                                             READY   STATUS        RESTARTS         AGE    IP             NODE                     NOMINATED NODE   READINESS GATES
airlock                  airlock-7c68678966-xtl2l                         1/1     Terminating   0                14h    10.244.8.143   talos-kimsufi-worker-1   <none>           <none>
airlock                  airlock-db-1                                     1/1     Terminating   0                2d9h   10.244.8.189   talos-kimsufi-worker-1   <none>           <none>
authentik                authentik-db-ovh-1                               1/1     Terminating   0                2d9h   10.244.8.144   talos-kimsufi-worker-1   <none>           <none>
flux-system              kustomize-controller-66cf97b9d-7s2v6             1/1     Terminating   1 (31h ago)      34h    10.244.8.128   talos-kimsufi-worker-1   <none>           <none>
gatus                    gatus-db-2                                       1/1     Terminating   0                2d9h   10.244.8.45    talos-kimsufi-worker-1   <none>           <none>
grocy-sf                 grocy-66b6c66cd7-2zwz4                           1/1     Terminating   1 (2d9h ago)     2d9h   10.244.8.172   talos-kimsufi-worker-1   <none>           <none>
grocy-sf                 grocy-sf-valkey-ovh-0                            1/1     Terminating   0                2d9h   10.244.8.177   talos-kimsufi-worker-1   <none>           <none>
grocy-vallejo            grocy-66b6c66cd7-62z9n                           1/1     Terminating   1 (2d9h ago)     2d9h   10.244.8.28    talos-kimsufi-worker-1   <none>           <none>
grocy-vallejo            grocy-vallejo-valkey-ovh-0                       1/1     Terminating   0                2d9h   10.244.8.160   talos-kimsufi-worker-1   <none>           <none>
kube-system              cilium-envoy-jb8p4                               1/1     Running       1 (2d9h ago)     3d7h   10.42.0.14     talos-kimsufi-worker-1   <none>           <none>
kube-system              cilium-phtc2                                     1/1     Running       1 (2d9h ago)     3d7h   10.42.0.14     talos-kimsufi-worker-1   <none>           <none>
kube-system              kube-apiserver-talos-kimsufi-worker-1            1/1     Terminating   0                2d9h   10.42.0.14     talos-kimsufi-worker-1   <none>           <none>
kube-system              kube-controller-manager-talos-kimsufi-worker-1   1/1     Terminating   0                2d9h   10.42.0.14     talos-kimsufi-worker-1   <none>           <none>
kube-system              kube-scheduler-talos-kimsufi-worker-1            1/1     Terminating   0                2d9h   10.42.0.14     talos-kimsufi-worker-1   <none>           <none>
kubevirt                 virt-operator-85c97b547d-tr8rl                   1/1     Terminating   0                2d4h   10.244.8.29    talos-kimsufi-worker-1   <none>           <none>
loki                     loki-backend-0                                   2/2     Terminating   4 (15h ago)      2d9h   10.244.8.88    talos-kimsufi-worker-1   <none>           <none>
loki                     loki-canary-pk9v2                                1/1     Running       2 (2d9h ago)     8d     10.244.8.76    talos-kimsufi-worker-1   <none>           <none>
loki                     loki-write-1                                     1/1     Terminating   0                2d9h   10.244.8.186   talos-kimsufi-worker-1   <none>           <none>
loki                     promtail-wdcxm                                   1/1     Running       2 (2d9h ago)     7d7h   10.244.8.134   talos-kimsufi-worker-1   <none>           <none>
manifold-mcp             manifold-valkey-kimsufi-0                        1/1     Terminating   0                2d9h   10.244.8.36    talos-kimsufi-worker-1   <none>           <none>
monitoring               alertmanager-monitoring-1                        2/2     Terminating   0                2d9h   10.244.8.31    talos-kimsufi-worker-1   <none>           <none>
monitoring               grafana-db-ovh-2                                 1/1     Terminating   0                2d9h   10.244.8.102   talos-kimsufi-worker-1   <none>           <none>
monitoring               mimir-ingester-1                                 1/1     Terminating   2 (2d9h ago)     2d9h   10.244.8.121   talos-kimsufi-worker-1   <none>           <none>
monitoring               prometheus-node-exporter-vc9s7                   1/1     Running       1 (2d9h ago)     3d7h   10.42.0.14     talos-kimsufi-worker-1   <none>           <none>
nix-cache                attic-db-1                                       1/1     Terminating   0                2d9h   10.244.8.152   talos-kimsufi-worker-1   <none>           <none>
node-feature-discovery   node-feature-discovery-worker-8j97z              1/1     Running       24 (2d10h ago)   3d7h   10.244.8.83    talos-kimsufi-worker-1   <none>           <none>
plaid-mcp                plaid-valkey-kimsufi-1                           1/1     Terminating   0                11h    10.244.8.254   talos-kimsufi-worker-1   <none>           <none>
seaweedfs-csi-system     seaweedfs-csi-driver-mount-9jkgj                 1/1     Running       2 (2d9h ago)     8d     10.244.8.225   talos-kimsufi-worker-1   <none>           <none>
seaweedfs-csi-system     seaweedfs-csi-driver-node-kj9sg                  3/3     Running       6 (2d9h ago)     8d     10.244.8.112   talos-kimsufi-worker-1   <none>           <none>
seaweedfs                seaweedfs-filer-db-2                             1/1     Terminating   0                2d9h   10.244.8.35    talos-kimsufi-worker-1   <none>           <none>
seaweedfs                seaweedfs-master-1                               1/1     Terminating   1 (2d2h ago)     2d2h   10.244.8.182   talos-kimsufi-worker-1   <none>           <none>
seaweedfs                seaweedfs-volume-0                               1/1     Terminating   0                2d9h   10.244.8.148   talos-kimsufi-worker-1   <none>           <none>
study-casino             study-casino-db-1                                1/1     Terminating   0                2d9h   10.244.8.170   talos-kimsufi-worker-1   <none>           <none>
tana-mcp                 mcp-valkey-ovh-0                                 1/1     Terminating   0                2d9h   10.244.8.98    talos-kimsufi-worker-1   <none>           <none>
tana-mcp                 tana-mcp-6cbcbc6db8-zbz9v                        2/2     Terminating   1 (2d9h ago)     2d9h   10.244.8.105   talos-kimsufi-worker-1   <none>           <none>
tofu-state               tofu-state-db-ovh-1                              1/1     Terminating   0                2d9h   10.244.8.159   talos-kimsufi-worker-1   <none>           <none>
