round,target,operation,seconds
1,seaweedfs-ssd,fsync_200,4.48
1,seaweedfs-ssd,git_commit_50,25.81
1,seaweedfs-ssd,git_clone,5.75
1,cephfs-ssd,fsync_200,1.46
1,cephfs-ssd,git_commit_50,2.23
1,cephfs-ssd,git_clone,0.18
2,cephfs-ssd,fsync_200,1.19
2,cephfs-ssd,git_commit_50,1.55
2,cephfs-ssd,git_clone,0.13
2,seaweedfs-ssd,fsync_200,6.16
2,seaweedfs-ssd,git_commit_50,25.72
2,seaweedfs-ssd,git_clone,5.77
3,seaweedfs-ssd,fsync_200,4.22
3,seaweedfs-ssd,git_commit_50,31.59
3,seaweedfs-ssd,git_clone,5.95
3,cephfs-ssd,fsync_200,0.89
3,cephfs-ssd,git_commit_50,1.17
3,cephfs-ssd,git_clone,0.16
4,cephfs-ssd,fsync_200,0.95
4,cephfs-ssd,git_commit_50,1.16
4,cephfs-ssd,git_clone,0.13
4,seaweedfs-ssd,fsync_200,4.34
4,seaweedfs-ssd,git_commit_50,34.33
4,seaweedfs-ssd,git_clone,5.23
5,seaweedfs-ssd,fsync_200,3.70
5,seaweedfs-ssd,git_commit_50,27.46
5,seaweedfs-ssd,git_clone,5.64
5,cephfs-ssd,fsync_200,0.92
5,cephfs-ssd,git_commit_50,1.17
5,cephfs-ssd,git_clone,0.16
