round,target,operation,seconds
1,seaweedfs,fsync_200,4.47
1,seaweedfs,git_commit_50,26.18
1,seaweedfs,git_clone,5.41
1,cephfs,fsync_200,26.06
1,cephfs,git_commit_50,22.36
1,cephfs,git_clone,1.03
2,cephfs,fsync_200,21.37
2,cephfs,git_commit_50,22.74
2,cephfs,git_clone,1.01
2,seaweedfs,fsync_200,5.43
2,seaweedfs,git_commit_50,66.82
2,seaweedfs,git_clone,10.93
3,seaweedfs,fsync_200,4.38
3,seaweedfs,git_commit_50,25.31
3,seaweedfs,git_clone,5.65
3,cephfs,fsync_200,17.34
3,cephfs,git_commit_50,20.06
3,cephfs,git_clone,1.11
4,cephfs,fsync_200,19.80
4,cephfs,git_commit_50,19.46
4,cephfs,git_clone,1.12
4,seaweedfs,fsync_200,4.04
4,seaweedfs,git_commit_50,26.57
4,seaweedfs,git_clone,5.20
5,seaweedfs,fsync_200,4.06
5,seaweedfs,git_commit_50,29.34
5,seaweedfs,git_clone,6.67
5,cephfs,fsync_200,23.77
5,cephfs,git_commit_50,21.47
5,cephfs,git_clone,1.34
