target,operation,http_status,seconds
cephfs,version,200,0.334996
cephfs,version,200,0.324579
cephfs,version,200,0.369734
cephfs,version,200,0.372237
cephfs,version,200,0.467962
cephfs,version,200,0.345519
cephfs,version,200,0.435571
cephfs,version,200,0.340132
cephfs,version,200,0.348832
cephfs,version,200,0.427411
cephfs,version,200,0.492150
cephfs,version,200,0.494900
cephfs,version,200,0.379983
cephfs,version,200,0.432289
cephfs,version,200,0.453871
cephfs,version,200,0.467000
cephfs,version,200,0.329318
cephfs,version,200,0.440319
cephfs,version,200,0.483360
cephfs,version,200,0.411130
cephfs,contents_read,200,0.441953
cephfs,contents_read,200,0.410100
cephfs,contents_read,200,6.062273
cephfs,contents_read,200,0.398543
cephfs,contents_read,200,0.470052
cephfs,contents_read,200,0.372823
cephfs,contents_read,200,0.375458
cephfs,contents_read,200,0.463213
cephfs,contents_read,200,0.398336
cephfs,contents_read,200,0.437647
cephfs,contents_read,200,0.357964
cephfs,contents_read,200,0.370756
cephfs,contents_read,200,0.500103
cephfs,contents_read,200,0.409569
cephfs,contents_read,200,0.415674
cephfs,contents_read,200,0.414989
cephfs,contents_read,200,0.481683
cephfs,contents_read,200,0.448163
cephfs,contents_read,200,0.380164
cephfs,contents_read,200,0.396807
cephfs,contents_write,201,2.898825
cephfs,contents_write,201,4.391624
cephfs,contents_write,201,3.044167
cephfs,contents_write,201,7.963546
cephfs,contents_write,201,2.695564
cephfs,contents_write,201,2.949747
cephfs,contents_write,201,3.327916
cephfs,contents_write,201,2.795561
cephfs,contents_write,201,3.275006
cephfs,contents_write,201,5.599285
cephfs,contents_write,201,4.299899
cephfs,contents_write,201,3.992414
cephfs,contents_write,201,2.436516
cephfs,contents_write,201,4.436721
cephfs,contents_write,201,4.207538
cephfs,contents_write,201,2.868351
cephfs,contents_write,201,2.382872
cephfs,contents_write,201,2.747871
cephfs,contents_write,201,2.721928
cephfs,contents_write,201,9.295107
cephfs,git_push,200,1.64
cephfs,git_push,200,4.14
cephfs,git_push,200,4.59
cephfs,git_push,200,1.49
cephfs,git_push,200,4.64
cephfs,git_push,200,1.85
cephfs,git_push,200,1.43
cephfs,git_push,200,1.68
cephfs,git_push,200,8.84
cephfs,git_push,200,5.93
cephfs,git_push,200,2.83
cephfs,git_push,200,1.86
cephfs,git_push,200,1.65
cephfs,git_push,200,2.31
cephfs,git_push,200,1.82
cephfs,git_push,200,1.90
cephfs,git_push,200,6.60
cephfs,git_push,200,1.54
cephfs,git_push,200,2.10
cephfs,git_push,200,2.30
