target,operation,http_status,seconds
seaweedfs,version,200,0.412382
seaweedfs,version,200,0.424347
seaweedfs,version,200,0.423322
seaweedfs,version,200,0.488209
seaweedfs,version,200,0.473316
seaweedfs,version,200,0.496409
seaweedfs,version,200,0.471045
seaweedfs,version,200,0.387164
seaweedfs,version,200,0.377291
seaweedfs,version,200,0.409371
seaweedfs,version,200,0.462978
seaweedfs,version,200,0.467228
seaweedfs,version,200,0.517833
seaweedfs,version,200,0.342521
seaweedfs,version,200,0.469654
seaweedfs,version,200,0.323320
seaweedfs,version,200,0.424554
seaweedfs,version,200,0.496163
seaweedfs,version,200,0.404599
seaweedfs,version,200,0.469591
seaweedfs,contents_read,200,0.656991
seaweedfs,contents_read,200,0.738378
seaweedfs,contents_read,200,0.886875
seaweedfs,contents_read,200,0.747361
seaweedfs,contents_read,200,0.677423
seaweedfs,contents_read,200,0.532388
seaweedfs,contents_read,200,0.541151
seaweedfs,contents_read,200,0.557913
seaweedfs,contents_read,200,0.685101
seaweedfs,contents_read,200,0.751183
seaweedfs,contents_read,200,0.584084
seaweedfs,contents_read,200,0.645920
seaweedfs,contents_read,200,0.576011
seaweedfs,contents_read,200,0.545873
seaweedfs,contents_read,200,0.590915
seaweedfs,contents_read,200,0.537737
seaweedfs,contents_read,200,0.590262
seaweedfs,contents_read,200,0.811795
seaweedfs,contents_read,200,0.709890
seaweedfs,contents_read,200,0.616100
seaweedfs,contents_write,201,4.151063
seaweedfs,contents_write,201,3.301779
seaweedfs,contents_write,201,3.596144
seaweedfs,contents_write,201,2.770436
seaweedfs,contents_write,201,3.505279
seaweedfs,contents_write,201,3.132863
seaweedfs,contents_write,201,4.208871
seaweedfs,contents_write,201,2.916746
seaweedfs,contents_write,201,2.828649
seaweedfs,contents_write,201,2.796902
seaweedfs,contents_write,201,2.799406
seaweedfs,contents_write,201,3.984196
seaweedfs,contents_write,201,2.866985
seaweedfs,contents_write,201,3.061647
seaweedfs,contents_write,201,3.378342
seaweedfs,contents_write,201,3.167332
seaweedfs,contents_write,201,3.308077
seaweedfs,contents_write,201,2.825103
seaweedfs,contents_write,201,2.668205
seaweedfs,contents_write,201,2.679540
seaweedfs,git_push,200,1.44
seaweedfs,git_push,200,1.33
seaweedfs,git_push,200,1.73
seaweedfs,git_push,200,1.29
seaweedfs,git_push,200,1.66
seaweedfs,git_push,200,2.08
seaweedfs,git_push,200,1.36
seaweedfs,git_push,200,1.86
seaweedfs,git_push,200,1.23
seaweedfs,git_push,200,1.30
seaweedfs,git_push,200,1.71
seaweedfs,git_push,200,1.64
seaweedfs,git_push,200,1.51
seaweedfs,git_push,200,1.63
seaweedfs,git_push,200,1.80
seaweedfs,git_push,200,1.32
seaweedfs,git_push,200,1.27
seaweedfs,git_push,200,1.25
seaweedfs,git_push,200,1.65
seaweedfs,git_push,200,1.75
