model,slug,creator,creator_country,release_date,reasoning,intelligence_index,coding_index,agentic_index,cost_per_task_usd,suite_cost_usd,price_1m_input_usd,price_1m_output_usd,price_1m_cache_read_usd,price_1m_cache_write_usd,cost_noncache_input_usd,cost_cache_read_usd,cost_cache_write_usd,cost_output_usd,cache_accounting_coherent,tokens_per_task,cache_read_share_of_input,effective_usd_per_m_tokens,context_window_tokens,open_weights,license,openrouter_api_id,gdpval_aa,tau3_banking,terminalbench_v2_1,scicode,hle,gpqa_diamond,critpt,omniscience,aa_lcr
Claude 4.5 Haiku (Reasoning),claude-4-5-haiku-reasoning,Anthropic,us,2025-10-15,yes,29.89,43.89,16.47,0.2174,471.22,1,5,0.1,1.25,0.006774,0.037480,0.054393,0.118801,yes,448850,0.8817,0.4845,200000,no,,anthropic/claude-haiku-4.5,0.2067,0.0928,0.4419,0.4329,0.1038,0.6717,0.0000,-4.37,0.7367
"Claude Fable 5 (Adaptive Reasoning, Max Effort, Opus 4.8 Fallback)",claude-fable-5,Anthropic,us,2026-06-09,yes,62.07,76.49,56.59,3.1396,5455.22,10,50,1,12.5,0.091310,0.781064,0.592827,1.674384,yes,871109,0.9325,3.6041,1000000,no,,anthropic/claude-fable-5,0.6189,0.3814,0.8464,0.6019,0.5547,0.9263,0.2857,43.30,0.7667
"Claude Opus 5 (Adaptive Reasoning, High Effort)",claude-opus-5-high,Anthropic,us,2026-07-24,yes,61.48,76.52,56.06,1.2268,1974.35,5,25,0.5,6.25,0.046550,0.400827,0.245564,0.533821,yes,871607,0.9428,1.4075,1000000,no,,,0.6164,0.4474,0.8764,0.5428,0.5283,0.9374,0.2829,33.72,0.7633
"Claude Opus 5 (Adaptive Reasoning, Low Effort)",claude-opus-5-low,Anthropic,us,2026-07-24,yes,52.46,66.95,42.12,0.4252,555.25,5,25,0.5,6.25,0.046249,0.109151,0.105447,0.164313,yes,250995,0.8931,1.6939,1000000,no,,,0.4787,0.3031,0.7640,0.4803,0.4342,0.8889,0.2314,28.55,0.7700
"Claude Opus 5 (Adaptive Reasoning, Max Effort)",claude-opus-5,Anthropic,us,2026-07-24,yes,63.05,77.98,59.17,2.3369,3836.05,5,25,0.5,6.25,0.046796,0.873829,0.409998,1.006236,yes,1862866,0.9589,1.2544,1000000,no,,anthropic/claude-opus-5,0.6723,0.4206,0.8914,0.5567,0.5487,0.9323,0.2914,37.07,0.7567
"Claude Opus 5 (Adaptive Reasoning, Medium Effort)",claude-opus-5-medium,Anthropic,us,2026-07-24,yes,58.64,74.33,50.38,0.7243,1116.24,5,25,0.5,6.25,0.046526,0.203471,0.162796,0.311485,yes,454754,0.9201,1.5927,1000000,no,,,0.5598,0.3856,0.8614,0.5069,0.5130,0.9192,0.2686,31.02,0.7867
"Claude Opus 5 (Adaptive Reasoning, Xhigh Effort)",claude-opus-5-xhigh,Anthropic,us,2026-07-24,yes,62.52,77.00,58.45,1.8012,2909.30,5,25,0.5,6.25,0.046711,0.639650,0.335212,0.779623,yes,1373462,0.9531,1.3114,1000000,no,,,0.6569,0.4330,0.8801,0.5498,0.5440,0.9374,0.2771,35.38,0.7633
"Claude Sonnet 5 (Adaptive Reasoning, Max Effort)",claude-sonnet-5,Anthropic,us,2026-06-30,yes,55.26,71.55,49.72,1.7173,4010.51,2,10,0.2,2.5,0.018646,0.690408,0.284793,0.723419,yes,3647624,0.9655,0.4708,1000000,no,,anthropic/claude-sonnet-5,0.5477,0.3732,0.8052,0.5359,0.4129,0.9111,0.1686,16.45,0.7700
"Claude Sonnet 5 (Non-reasoning, High Effort)",claude-sonnet-5-non-reasoning,Anthropic,us,2026-06-30,no,42.57,66.39,34.25,0.4169,415.75,2,10,0.2,2.5,0.013041,0.218815,0.078082,0.107008,yes,1142529,0.9666,0.3649,1000000,no,,,0.4360,0.1567,0.7528,0.4861,0.1905,0.8000,0.0114,-0.65,0.6600
GLM-4.6 (Reasoning),glm-4-6-reasoning,Z AI,cn,2025-09-30,yes,29.30,45.77,18.62,0.3046,314.30,0.55,2.2,0.55,,0.003412,0.000000,0.259554,0.041672,no,,,,200000,yes,MIT,z-ai/glm-4.6,0.2169,0.1340,0.4944,0.3843,0.1446,0.7798,0.0114,-41.88,0.5533
