model,slug,creator,intelligence_index,cost_per_task_usd,price_1m_input_usd,price_1m_output_usd,price_1m_cache_read_usd,price_1m_cache_write_usd,context_window_tokens,gdpval_aa,terminalbench_v4_0,scicode,hle,critpt,omniscience,aa_lcr
Claude 4.5 Haiku (Reasoning),claude-4-5-haiku-reasoning,Anthropic,16.8822352291856,0.2077123803588505,1,5,0.1,1.25,200000,0.10943000000000001,0,0.422453703703704,0.103799814643188,0,-4.366666666666666,0.743333333333333
"Claude Fable 5 (Adaptive Reasoning, Max Effort, Opus 4.8 Fallback)",claude-fable-5,Anthropic,49.6258202733378,8.745961651687406,10,50,1,12.5,1000000,0.547705,0.424242424242424,0.609953703703704,0.554680259499537,0.2857142857,43.3,0.823333333333333
"Claude Opus 5 (Adaptive Reasoning, Max Effort)",claude-opus-5,Anthropic,50.7771115797629,5.858396237036018,5,25,0.5,6.25,1000000,0.60396,0.48989898989899,0.563657407407407,0.548656163113994,0.291428571428571,37.06666666666667,0.793333333333333
"Claude Opus 5 (Adaptive Reasoning, High Effort)",claude-opus-5-high,Anthropic,48.1219182595908,3.6132670078004714,5,25,0.5,6.25,1000000,0.5405,0.45959595959596,0.554398148148148,0.528266913809083,0.282857142857143,33.71666666666667,0.79
"Claude Opus 5 (Adaptive Reasoning, Low Effort)",claude-opus-5-low,Anthropic,39.3543357992936,1.098302324514437,5,25,0.5,6.25,1000000,0.39683,0.262626262626263,0.491898148148148,0.434198331788693,0.231428571428571,28.55,0.813333333333333
"Claude Opus 5 (Adaptive Reasoning, Medium Effort)",claude-opus-5-medium,Anthropic,44.8253265420613,2.1894793086538695,5,25,0.5,6.25,1000000,0.48796500000000004,0.343434343434343,0.515046296296296,0.512974976830398,0.268571428571429,31.016666666666666,0.82
"Claude Opus 5 (Adaptive Reasoning, Xhigh Effort)",claude-opus-5-xhigh,Anthropic,49.6773552926939,4.877843772646787,5,25,0.5,6.25,1000000,0.58815,0.464646464646465,0.556712962962963,0.544022242817424,0.277142857142857,35.38333333333333,0.803333333333333
"Claude Sonnet 5 (Adaptive Reasoning, Max Effort)",claude-sonnet-5,Anthropic,38.1638712882576,5.091163584815694,2,10,0.2,2.5,1000000,0.4746,0.141414141414141,0.542824074074074,0.412882298424467,0.168571428571429,16.45,0.82
Gemini 3.7 Flash (high),gemini-3-7-flash,Google,39.0594566404896,0.9253359372385677,0.75,3.75,0.075,0.75,1000000,0.435625,0.136363636363636,0.571759259259259,0.478683966635774,0.142857142857143,26.483333333333334,0.816666666666667
GLM-5.1 (Reasoning),glm-5-1,Z AI,26.0585912980095,1.0192564984972659,1.285,4.07,0.26,,200000,0.30167999999999995,0.0202020202020202,0.447916666666667,0.300741427247451,0.0457142857142857,0.85,0.736666666666667
GLM-5.2 (max),glm-5-2,Z AI,33.7054572377545,0.9648813120929373,1.4,4.4,0.26,,1000000,0.42876,0.0101010101010101,0.511574074074074,0.411492122335496,0.208571428571429,4.433333333333334,0.783333333333333
GLM-5.3 (max),glm-5-3,Z AI,44.777392385614,2.0056375150449584,1.4,4.4,0.26,,1000000,0.5727599999999999,0.419191919191919,0.590277777777778,0.422613531047266,0.191428571428571,14.3,0.796666666666667
GPT-5.6 Luna (max),gpt-5-6-luna,OpenAI,37.3244239690841,0.17829726152289094,0.2,1.2,0.02,0.25,1000000,0.47157000000000004,0.116161616161616,0.53587962962963,0.394810009267841,0.205714285714286,-10.283333333333333,0.836666666666667
GPT-5.6 Luna (high),gpt-5-6-luna-high,OpenAI,32.1196453501091,0.043981552251920096,0.2,1.2,0.02,0.25,1000000,0.40938,0.0252525252525253,0.516203703703704,0.334105653382762,0.165714285714286,-12,0.803333333333333
GPT-5.6 Luna (low),gpt-5-6-luna-low,OpenAI,21.0124783424265,0.009827249754655997,0.2,1.2,0.02,0.25,1000000,0.240485,0,0.460648148148148,0.198331788693234,0.0257142857142857,-14.65,0.7
GPT-5.6 Luna (medium),gpt-5-6-luna-medium,OpenAI,25.0358741440784,0.015598049609820011,0.2,1.2,0.02,0.25,1000000,0.306135,0.00505050505050505,0.467592592592593,0.257645968489342,0.0485714285714286,-13.183333333333334,0.75
GPT-5.6 Luna (Non-reasoning),gpt-5-6-luna-non-reasoning,OpenAI,15.5270002110259,0.010091821810180262,0.2,1.2,0.02,0.25,1000000,0.20308999999999996,0.0101010101010101,0.403935185185185,0.072289156626506,0.00285714285714286,-24.95,0.426666666666667
GPT-5.6 Luna (xhigh),gpt-5-6-luna-xhigh,OpenAI,34.555348822309,0.085342806135728,0.2,1.2,0.02,0.25,1000000,0.441855,0.0353535353535354,0.50462962962963,0.369786839666358,0.205714285714286,-10.766666666666667,0.816666666666667
GPT-5.6 Sol (max),gpt-5-6-sol,OpenAI,46.9727068915036,1.98845538085375,4,20,0.4,5,1000000,0.54395,0.398989898989899,0.570601851851852,0.494902687673772,0.322857142857143,21.966666666666665,0.84
GPT-5.6 Sol (high),gpt-5-6-sol-high,OpenAI,42.3461010420519,0.807982690134498,4,20,0.4,5,1000000,0.490015,0.207070707070707,0.577546296296296,0.46014828544949,0.257142857142857,20.366666666666667,0.816666666666667
GPT-5.6 Sol (low),gpt-5-6-sol-low,OpenAI,33.4731387646002,0.2606419442090313,4,20,0.4,5,1000000,0.39467499999999994,0.0101010101010101,0.563657407407407,0.393883225208526,0.148571428571429,18.866666666666667,0.78
GPT-5.6 Sol (medium),gpt-5-6-sol-medium,OpenAI,39.2363585889147,0.5049926304382959,4,20,0.4,5,1000000,0.451475,0.146464646464646,0.574074074074074,0.422150139017609,0.228571428571429,19.4,0.803333333333333
GPT-5.6 Sol (xhigh),gpt-5-6-sol-xhigh,OpenAI,44.008876369169,1.1843629381907275,4,20,0.4,5,1000000,0.52378,0.247474747474747,0.570601851851852,0.473123262279889,0.285714285714286,20.983333333333334,0.823333333333333
GPT-5.6 Terra (max),gpt-5-6-terra,OpenAI,42.0829248239494,1.3987235612691513,2,12,0.2,2.5,1000000,0.46613499999999997,0.353535353535354,0.549768518518518,0.429101019462465,0.3,0.05,0.83
GPT-5.6 Terra (high),gpt-5-6-terra-high,OpenAI,34.2376558067555,0.3378727947949101,2,12,0.2,2.5,1000000,0.43127499999999996,0.0151515151515152,0.524305555555556,0.385078776645042,0.228571428571429,-3.466666666666667,0.776666666666667
GPT-5.6 Terra (low),gpt-5-6-terra-low,OpenAI,27.496203401716,0.1444617614290821,2,12,0.2,2.5,1000000,0.29802999999999996,0.0151515151515152,0.498842592592593,0.291936978683967,0.0942857142857143,-6.833333333333333,0.713333333333333
GPT-5.6 Terra (medium),gpt-5-6-terra-medium,OpenAI,30.0938023419377,0.18337295992969213,2,12,0.2,2.5,1000000,0.37730499999999995,0.0101010101010101,0.50462962962963,0.332715477293791,0.174285714285714,-5.133333333333334,0.74
GPT-5.6 Terra (Non-reasoning),gpt-5-6-terra-non-reasoning,OpenAI,20.7797013584503,0.13972397093498629,2,12,0.2,2.5,1000000,0.292385,0.00505050505050505,0.451388888888889,0.113994439295644,0.02,-23.216666666666665,0.586666666666667
GPT-5.6 Terra (xhigh),gpt-5-6-terra-xhigh,OpenAI,37.9513370742927,0.6317911346924275,2,12,0.2,2.5,1000000,0.46408000000000005,0.101010101010101,0.523148148148148,0.418906394810009,0.271428571428571,-2.9833333333333334,0.79
GPT-6 Astra (max),gpt-6-astra,OpenAI,52.673669395513,3.2575003134834164,10,50,1,12.5,1000000,0.5209450000000001,0.590909090909091,0.564814814814815,0.546802594995366,0.317142857142857,43.4,0.806666666666667
GPT-6 Astra (high),gpt-6-astra-high,OpenAI,50.9191471636152,1.7252530861048456,10,50,1,12.5,1000000,0.49226,0.54040404040404,0.554398148148148,0.530583873957368,0.288571428571429,43.733333333333334,0.8
GPT-6 Astra (low),gpt-6-astra-low,OpenAI,45.7819243120341,0.8175139285656057,10,50,1,12.5,1000000,0.43279999999999996,0.419191919191919,0.540509259259259,0.492122335495829,0.262857142857143,40.55,0.8
GPT-6 Astra (medium),gpt-6-astra-medium,OpenAI,49.5704363034369,1.5406493220021167,10,50,1,12.5,1000000,0.48394000000000004,0.494949494949495,0.541666666666667,0.527340129749768,0.291428571428571,42.21666666666667,0.796666666666667
GPT-6 Astra (xhigh),gpt-6-astra-xhigh,OpenAI,52.3863277108782,2.308795912269076,10,50,1,12.5,1000000,0.50824,0.595959595959596,0.556712962962963,0.545875810936052,0.314285714285714,43.416666666666664,0.8
GPT-6 Luna (max),gpt-6-luna,OpenAI,37.2559686869738,0.06809498628701058,0.1,0.5,0.01,0.125,1000000,0.43354499999999996,0.126262626262626,0.546296296296296,0.385078776645042,0.194285714285714,0.65,0.833333333333333
GPT-6 Luna (high),gpt-6-luna-high,OpenAI,32.1482304150837,0.02861964876935845,0.1,0.5,0.01,0.125,1000000,0.39518499999999995,0.0454545454545455,0.503472222222222,0.329471733086191,0.154285714285714,-5.5,0.793333333333333
